review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp,last_updated
REV-000007,ORD-20260111-245380,CUST-10017,REST-SHJ-001,"Great food overall. Dal Makhani, Masala Chai, Rasmalai (2 pcs), Paneer Tikka, and Gajar Halwa were tasty, especially the Masala Chai. Would order again!",4,2026-01-12 13:36:18,2026-07-10 16:41:45
REV-000015,ORD-20260111-273777,CUST-10463,REST-DXB-002,Hands down the best Garlic Naan I've ever had! Garlic Naan were all prepared beautifully. Fresh and flavorful!,5,2026-01-12 21:07:33,2026-07-10 16:41:45
REV-000001,ORD-20260111-969343,CUST-10079,REST-AUH-002,"Absolutely amazing Chicken Seekh Kebab, Paneer Butter Masala, Butter Chicken, and Garlic Naan! The Chicken Seekh Kebab was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!",5,2026-01-13 10:04:54,2026-07-10 16:41:45
REV-000002,ORD-20260111-433360,CUST-10049,REST-SHJ-001,Outstanding experience! The Paneer Butter Masala and Vegetable Biryani exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2026-01-13 10:19:52,2026-07-10 16:41:45
REV-000027,ORD-20260112-881780,CUST-10470,REST-DXB-001,Outstanding experience! The Dal Makhani and Chicken Biryani exceeded all expectations. Chicken Biryani was the star of the meal. Will definitely order again!,5,2026-01-13 17:18:11,2026-07-10 16:41:45
REV-000018,ORD-20260112-271859,CUST-10482,REST-DXB-001,Hands down the best Chicken Seekh Kebab I've ever had! Chicken Seekh Kebab and Mango Lassi were all prepared beautifully. Fresh and flavorful!,5,2026-01-14 10:54:08,2026-07-10 16:41:45
REV-000019,ORD-20260112-251369,CUST-10272,REST-AUH-001,It was okay. Palak Paneer and Samosa (2 pcs) arrived lukewarm. Palak Paneer tasted fine but could be better.,3,2026-01-14 11:17:30,2026-07-10 16:41:45
REV-000026,ORD-20260112-866724,CUST-10404,REST-DXB-001,"Incredible meal! Aloo Tikki Chaat, Naan, Butter Naan, Butter Chicken, and Kulfi arrived hot and fresh. The Kulfi was absolutely divine. Highly satisfied!",5,2026-01-14 16:24:02,2026-07-10 16:41:45
REV-000012,ORD-20260111-359923,CUST-10469,REST-SHJ-001,"Decent food but nothing special. Paneer Tikka, Mango Lassi, Malai Kofta, Tandoori Roti, and Samosa (2 pcs) were okay. Paneer Tikka lacked the punch I expected.",3,2026-01-14 17:08:59,2026-07-10 16:41:45
REV-000046,ORD-20260113-297197,CUST-10177,REST-AUH-001,"Perfect in every way! Butter Naan, Samosa (2 pcs), Masala Chai, Naan, and Rasmalai (2 pcs) were all excellent. Masala Chai stood out with its rich, authentic taste.",5,2026-01-14 21:22:26,2026-07-10 16:41:45
