restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level,last_updated
REST-AUH-001,ITEM-101,Samosa (2 pcs),Starter,17.36,"Potato, Peas, Spices, Pastry",1,Medium,2026-07-10 16:41:45
REST-AUH-001,ITEM-102,Paneer Tikka,Starter,35.62,"Paneer, Yogurt, Spices, Bell Pepper",1,Medium,2026-07-10 16:41:45
REST-AUH-001,ITEM-103,Chicken 65,Starter,37.44,"Chicken, Curry Leaves, Spices",0,Hot,2026-07-10 16:41:45
REST-AUH-001,ITEM-104,Aloo Tikki Chaat,Starter,21.56,"Potato, Chickpeas, Yogurt, Tamarind",1,Mild,2026-07-10 16:41:45
REST-AUH-001,ITEM-105,Chicken Seekh Kebab,Starter,42.29,"Minced Chicken, Spices, Onion",0,Medium,2026-07-10 16:41:45
REST-AUH-001,ITEM-201,Paneer Butter Masala,Main Course,44.01,"Paneer, Tomato, Cream, Butter",1,Mild,2026-07-10 16:41:45
REST-AUH-001,ITEM-202,Dal Makhani,Main Course,37.83,"Black Lentils, Kidney Beans, Cream",1,Mild,2026-07-10 16:41:45
REST-AUH-001,ITEM-203,Palak Paneer,Main Course,42.49,"Spinach, Paneer, Spices",1,Medium,2026-07-10 16:41:45
REST-AUH-001,ITEM-204,Malai Kofta,Main Course,44.45,"Cottage Cheese, Potato, Cashew Gravy",1,Mild,2026-07-10 16:41:45
REST-AUH-001,ITEM-205,Chole Bhature,Main Course,41.23,"Chickpeas, Fried Bread, Spices",1,Medium,2026-07-10 16:41:45
REST-AUH-001,ITEM-301,Butter Chicken,Main Course,50.45,"Chicken, Tomato, Butter, Cream",0,Mild,2026-07-10 16:41:45
REST-AUH-001,ITEM-302,Chicken Tikka Masala,Main Course,48.72,"Chicken Tikka, Tomato Gravy, Cream",0,Medium,2026-07-10 16:41:45
REST-AUH-001,ITEM-303,Lamb Rogan Josh,Main Course,61.86,"Lamb, Yogurt, Kashmiri Spices",0,Medium,2026-07-10 16:41:45
